row_number,source_index,image_path,mask_path,dice,iou,sensitivity,specificity,precision,accuracy,relative_area_diff
39,283,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9168101.553679/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247819.360846/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247817.582434_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9168101.553679/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247819.360846/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247817.582434_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9727897644042969,1.0
40,286,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101995.51073/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101996.25183/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101993.95469_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101995.51073/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101996.25183/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101993.95469_binarymask_R1.png,0.7992534891269069,0.6656304906068388,0.9200448346721465,0.992032431043144,0.7064983503084206,0.9905624389648438,0.30226041472071735
41,287,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101995.51073/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13178838.39384/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13178836.90648_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13101995.51073/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13178838.39384/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.13178836.90648_binarymask_R1.png,0.7944956510450474,0.6590566444109413,0.9874152952565344,0.9940396456214171,0.6646394439617723,0.9939613342285156,0.4856405292029687
42,319,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011523.861203/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011518.573713_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011523.861203/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011518.573713_binarymask_R1.png,0.0,0.0,0.0,0.9994172836029863,0.0,0.9748458862304688,0.9768813033359193
43,320,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2020078.779202/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2020076.641856_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2020078.779202/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2020076.641856_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9643363952636719,1.0
44,321,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R XCCL_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2021592.165465/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2021590.421140_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2011519.817857/R XCCL_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2021592.165465/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.2021590.421140_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9721145629882812,1.0
45,341,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4177579.7375907/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4433290.4472570/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4433288.9097470_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4177579.7375907/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4433290.4472570/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.4433288.9097470_binarymask_R1.png,0.9237758707723372,0.8583489681050657,0.8832046332046332,0.9998851050140172,0.9682539682539683,0.9994239807128906,0.08783783783783784
46,350,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753604.457729/L MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3865310.447752/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3865307.213010_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753604.457729/L MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3865310.447752/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3865307.213010_binarymask_R1.png,0.22910735220231118,0.12937393606960468,0.2177650429799427,0.9917143816866986,0.24169611307420494,0.9824409484863281,0.09901305316778096
47,352,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753604.457729/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753605.101495/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753602.981913_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753604.457729/R MLO_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753605.101495/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.3753602.981913_binarymask_R1.png,0.0,0.0,0.0,0.9891497805420436,0.0,0.9688682556152344,0.48167441860465116
48,361,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22272613.114604/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22746269.781090/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22746266.678656_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22272613.114604/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22746269.781090/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.22746266.678656_binarymask_R1.png,0.40753088840949203,0.2559113300492611,0.2559113300492611,1.0,1.0,0.9884757995605469,0.744088669950739
