cached_image_finite_fraction,cached_image_max,cached_image_mean,cached_image_min,cached_image_nonzero_pixels,cached_image_numel,cached_image_shape,cached_image_std,cached_mask_finite_fraction,cached_mask_max,cached_mask_mean,cached_mask_min,cached_mask_nonzero_pixels,cached_mask_numel,cached_mask_shape,cached_mask_std,gt_positive_pixels_at_0.5,image_name,model_input_finite_fraction,model_input_max,model_input_mean,model_input_min,model_input_nonzero_pixels,model_input_numel,model_input_shape,model_input_std,possible_double_scaling,prediction_positive_pixels,probability_finite_fraction,probability_max,probability_mean,probability_min,probability_nonzero_pixels,probability_numel,probability_shape,probability_std,processed_mask_finite_fraction,processed_mask_max,processed_mask_mean,processed_mask_min,processed_mask_nonzero_pixels,processed_mask_numel,processed_mask_shape,processed_mask_std
1.0,0.009123126976191998,0.0008973856456577778,0.0,777360,786432,3x512x512,0.0010131631279364228,1.0,1.0,0.085693359375,0.0,22464,262144,1x512x512,0.27991071343421936,0,ISPY1_1145,1.0,-0.9999284744262695,-0.9999930262565613,-1.0,786432,786432,3x512x512,7.946031473693438e-06,True,0,1.0,0.000768316735047847,1.8011003703577444e-05,2.42230862568249e-06,262144,262144,1x512x512,2.0409001081134193e-05,1.0,0.003921568859368563,0.00033605238422751427,0.0,22464,262144,1x512x512,0.0010976891499012709
1.0,0.010118793696165085,0.001245957682840526,0.0001277962583117187,786432,786432,3x512x512,0.0010899849003180861,1.0,1.0,0.0152740478515625,0.0,4004,262144,1x512x512,0.12264074385166168,0,ISPY1_1148,1.0,-0.999920666217804,-0.9999902248382568,-0.9999989867210388,786432,786432,3x512x512,8.549889571440872e-06,True,0,1.0,0.12172555923461914,0.0005919943796470761,2.431805569358403e-06,262144,262144,1x512x512,0.0076615638099610806,1.0,0.003921568859368563,5.9898229665122926e-05,0.0,4004,262144,1x512x512,0.0004809441161341965
1.0,0.010786385275423527,0.0015157010639086366,0.00012016663094982505,786432,786432,3x512x512,0.0011865950655192137,1.0,1.0,0.00897216796875,0.0,2352,262144,1x512x512,0.09429564327001572,0,ISPY1_1149,1.0,-0.9999154210090637,-0.9999880790710449,-0.9999990463256836,786432,786432,3x512x512,9.307670552516356e-06,True,0,1.0,0.07405167073011398,6.843027949798852e-05,2.384522304055281e-06,262144,262144,1x512x512,0.0012466369662433863,1.0,0.003921568859368563,3.518497396726161e-05,0.0,2352,262144,1x512x512,0.00036978686694055796
1.0,0.014101458713412285,0.0013849352253600955,0.00021553697297349572,786432,786432,3x512x512,0.0012765477877110243,1.0,1.0,0.0201568603515625,0.0,5284,262144,1x512x512,0.14053669571876526,0,ISPY1_1150,1.0,-0.9998893737792969,-0.9999892115592957,-0.9999983310699463,786432,786432,3x512x512,1.0013155588239897e-05,True,0,1.0,0.12169782817363739,0.0007973664905875921,2.387337190157268e-06,262144,262144,1x512x512,0.00830069836229086,1.0,0.003921568859368563,7.904651283752173e-05,0.0,5284,262144,1x512x512,0.0005511243361979723
1.0,0.007341609336435795,0.0012015298707410693,0.00018883327720686793,786432,786432,3x512x512,0.0008427311549894512,1.0,1.0,0.0081939697265625,0.0,2148,262144,1x512x512,0.09014892578125,0,ISPY1_1151,1.0,-0.999942421913147,-0.9999906420707703,-0.9999985098838806,786432,786432,3x512x512,6.610829132114304e-06,True,0,1.0,0.0008413605974055827,1.8110098608303815e-05,2.405781060588197e-06,262144,262144,1x512x512,2.4706629119464196e-05,1.0,0.003921568859368563,3.213321906514466e-05,0.0,2148,262144,1x512x512,0.0003535252180881798
1.0,0.008453627116978168,0.001245905994437635,3.0518509447574615e-05,786432,786432,3x512x512,0.0013377720024436712,1.0,1.0,0.0324859619140625,0.0,8516,262144,1x512x512,0.17728684842586517,0,ISPY1_1156,1.0,-0.9999337196350098,-0.9999902844429016,-0.9999997615814209,786432,786432,3x512x512,1.0496464710740838e-05,True,0,1.0,0.000674387498293072,2.1076755729154684e-05,2.3896946004242636e-06,262144,262144,1x512x512,2.515447704354301e-05,1.0,0.003921568859368563,0.00012739593512378633,0.0,8516,262144,1x512x512,0.0006952425464987755
1.0,0.015934476628899574,0.0017927194712683558,0.00026131473714485765,786432,786432,3x512x512,0.0015574584249407053,1.0,1.0,0.0507354736328125,0.0,13300,262144,1x512x512,0.21945703029632568,0,ISPY1_1159,1.0,-0.999875009059906,-0.999985933303833,-0.9999979734420776,786432,786432,3x512x512,1.2214923117426224e-05,True,0,1.0,0.12147753685712814,0.00037118102773092687,1.6066217085608514e-06,262144,262144,1x512x512,0.005064492113888264,1.0,0.003921568859368563,0.00019896263256669044,0.0,13300,262144,1x512x512,0.0008606158080510795
1.0,0.025673694908618927,0.0018118609441444278,0.0,575238,786432,3x512x512,0.002758970018476248,1.0,1.0,0.018951416015625,0.0,4968,262144,1x512x512,0.13635343313217163,0,ISPY1_1160,1.0,-0.9997986555099487,-0.9999858736991882,-1.0,786432,786432,3x512x512,2.1639101760229096e-05,True,0,1.0,0.1249639168381691,0.0014610631624236703,1.0977078090945724e-06,262144,262144,1x512x512,0.012558462098240852,1.0,0.003921568859368563,7.431927951984107e-05,0.0,4968,262144,1x512x512,0.0005347193800844252
1.0,0.009289070963859558,0.0009461971931159496,0.0,774801,786432,3x512x512,0.00108871771954,1.0,1.0,0.0537261962890625,0.0,14084,262144,1x512x512,0.22547659277915955,0,ISPY1_1161,1.0,-0.9999271631240845,-0.9999924302101135,-1.0,786432,786432,3x512x512,8.53962410474196e-06,True,0,1.0,0.000307397946016863,1.8725526388152502e-05,2.3945606244524242e-06,262144,262144,1x512x512,1.6984304238576442e-05,1.0,0.003921568859368563,0.00021069098147563636,0.0,14084,262144,1x512x512,0.0008842219831421971
1.0,0.013826792128384113,0.0014536312082782388,0.00010299996938556433,786432,786432,3x512x512,0.001277489005587995,1.0,1.0,0.0149688720703125,0.0,3924,262144,1x512x512,0.12142819166183472,0,ISPY1_1164,1.0,-0.9998915791511536,-0.9999886155128479,-0.9999991655349731,786432,786432,3x512x512,1.0019814908446278e-05,True,0,1.0,0.12242499738931656,0.0009595665615051985,2.38240818362101e-06,262144,262144,1x512x512,0.009501202963292599,1.0,0.003921568859368563,5.870146560482681e-05,0.0,3924,262144,1x512x512,0.00047618901589885354
